Location,Chocolate,Eaten,Time
1,0,1,4
1,0,1,4
1,0,1,4
1,0,1,8
1,0,1,8
1,0,1,14
1,0,1,14
1,0,1,14
1,0,1,30
1,0,1,30
1,0,1,34
1,0,1,34
1,0,1,95
1,0,1,95
1,0,1,99
1,0,1,99
1,0,1,99
1,0,1,111
1,0,1,114
1,0,1,120
1,0,1,121
1,0,1,121
1,0,1,121
1,0,1,153
1,0,1,153
1,0,1,189
1,0,1,260
1,0,1,289
1,0,1,334
1,0,1,334
1,0,1,349
1,0,0,360
1,1,1,5
1,1,1,5
1,1,1,5
1,1,1,5
1,1,1,5
1,1,1,5
1,1,1,14
1,1,1,14
1,1,1,14
1,1,1,14
1,1,1,29
1,1,1,30
1,1,1,61
1,1,1,61
1,1,1,69
1,1,1,84
1,1,1,95
1,1,1,96
1,1,1,96
1,1,1,96
1,1,1,96
1,1,1,121
1,1,1,121
1,1,1,153
1,1,1,153
1,1,1,184
1,1,1,242
1,1,1,242
1,1,1,279
1,1,1,299
1,1,1,334
1,1,1,334
1,1,0,360
1,1,0,360
1,1,0,360
2,0,1,0
2,0,1,0
2,0,1,0
2,0,1,1
2,0,1,7
2,0,1,8
2,0,1,8
2,0,1,11
2,0,1,16
2,0,1,19
2,0,1,25
2,0,1,26
2,0,1,34
2,0,1,34
2,0,1,34
2,0,1,36
2,0,1,37
2,0,1,41
2,0,1,43
2,0,1,53
2,0,1,66
2,0,1,105
2,0,1,105
2,0,1,119
2,0,1,155
2,0,0,178
2,0,0,178
2,0,0,178
2,0,0,178
2,0,0,178
2,0,0,178
2,0,1,178
2,1,1,44
2,1,1,45
2,1,1,46
2,1,1,47
2,1,1,48
2,1,1,49
2,1,1,54
2,1,1,54
2,1,1,66
2,1,1,79
2,1,1,85
2,1,1,85
2,1,1,91
2,1,1,171
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
2,1,0,178
3,0,1,4
3,0,1,5
3,0,1,5
3,0,1,8
3,0,1,8
3,0,1,9
3,0,1,10
3,0,1,15
3,0,1,15
3,0,1,15
3,0,1,60
3,0,1,60
3,0,1,103
3,0,1,115
3,0,1,144
3,0,1,158
3,0,1,175
3,0,1,195
3,0,0,246
3,0,0,246
3,0,0,246
3,0,0,246
3,0,0,246
3,0,0,246
3,0,1,246
3,0,1,246
3,0,1,246
3,1,1,9
3,1,1,15
3,1,1,15
3,1,1,15
3,1,1,15
3,1,1,15
3,1,1,29
3,1,1,91
3,1,1,103
3,1,1,106
3,1,1,115
3,1,1,159
3,1,1,173
3,1,1,175
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,233
3,1,0,246
3,1,0,246
3,1,0,246
3,1,0,246
3,1,0,246
3,1,1,246
3,1,1,246
3,1,1,246
3,1,1,246
4,0,1,17
4,0,1,22
4,0,1,24
4,0,1,28
4,0,1,28
4,0,1,30
4,0,1,33
4,0,1,38
4,0,1,40
4,0,1,41
4,0,1,41
4,0,1,51
4,0,1,58
4,0,1,62
4,0,1,62
4,0,1,63
4,0,1,70
4,0,1,77
4,0,1,108
4,0,1,124
4,0,1,125
4,0,1,128
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,0,0,144
4,1,1,10
4,1,1,13
4,1,1,15
4,1,1,15
4,1,1,16
4,1,1,16
4,1,1,17
4,1,1,18
4,1,1,18
4,1,1,22
4,1,1,24
4,1,1,26
4,1,1,26
4,1,1,30
4,1,1,32
4,1,1,36
4,1,1,41
4,1,1,51
4,1,1,51
4,1,1,53
4,1,1,62
4,1,1,82
4,1,1,110
4,1,1,113
4,1,1,127
4,1,1,140
4,1,0,144
4,1,0,144
4,1,0,144
4,1,0,144
4,1,0,144
4,1,1,144